['38/150', '0.685227', '0.503599', '0.841769', '0.982835', '0.619918', '0.886044', '1.799674', '1.640985', '0.627000', '0.870900', '0.584700', '0.858000', '0:02:19']
['39/150', '0.684465', '0.494774', '0.845891', '0.982814', '0.624980', '0.886424', '1.966979', '1.794586', '0.606600', '0.860300', '0.578100', '0.853200', '0:02:18']
['40/150', '0.681252', '0.482494', '0.848412', '0.984435', '0.626961', '0.890885', '1.984846', '1.802251', '0.619100', '0.859600', '0.579200', '0.844400', '0:02:18']
['41/150', '0.680746', '0.473692', '0.851172', '0.984195', '0.633263', '0.892686', '1.865596', '1.680635', '0.617200', '0.869300', '0.587000', '0.853300', '0:02:18']
['42/150', '0.676097', '0.460015', '0.856134', '0.984835', '0.635183', '0.895367', '1.846871', '1.655239', '0.625700', '0.876200', '0.592300', '0.864600', '0:02:19']
['43/150', '0.665344', '0.440173', '0.862016', '0.986676', '0.640025', '0.897507', '1.934504', '1.735949', '0.621800', '0.869500', '0.588400', '0.853600', '0:02:19']
['44/150', '0.675006', '0.443917', '0.862056', '0.985996', '0.643606', '0.900328', '1.911407', '1.704466', '0.621800', '0.869800', '0.589300', '0.860600', '0:02:19']
['45/150', '0.667363', '0.422805', '0.866337', '0.988016', '0.644666', '0.901368', '1.885243', '1.665312', '0.630900', '0.870200', '0.593100', '0.858200', '0:02:19']
['46/150', '0.675872', '0.422195', '0.868678', '0.988076', '0.647687', '0.904429', '2.010602', '1.775132', '0.619800', '0.865300', '0.580200', '0.851700', '0:02:18']
['47/150', '0.677377', '0.415275', '0.870659', '0.987916', '0.651428', '0.905250', '1.873965', '1.636427', '0.635300', '0.876600', '0.588200', '0.859600', '0:02:19']
['48/150', '0.672715', '0.404237', '0.875600', '0.988556', '0.655830', '0.906930', '1.893601', '1.652106', '0.626700', '0.871100', '0.600500', '0.865700', '0:02:19']
['49/150', '0.670281', '0.394920', '0.877241', '0.989137', '0.663032', '0.910291', '1.943511', '1.683029', '0.631900', '0.871100', '0.598100', '0.860800', '0:02:19']
['50/150', '0.676817', '0.393467', '0.878021', '0.989016', '0.662572', '0.909951', '1.920546', '1.659394', '0.628300', '0.872300', '0.599000', '0.858200', '0:02:19']
['51/150', '0.677895', '0.388472', '0.877901', '0.989797', '0.671435', '0.911832', '2.029509', '1.754691', '0.623200', '0.865800', '0.595800', '0.854900', '0:02:18']
['52/150', '0.674624', '0.377997', '0.884103', '0.989657', '0.672535', '0.914693', '1.892119', '1.617373', '0.634600', '0.878500', '0.606100', '0.871400', '0:02:19']
['53/150', '0.677493', '0.372028', '0.885243', '0.989677', '0.675076', '0.915893', '1.857732', '1.580133', '0.644800', '0.881400', '0.614400', '0.873700', '0:02:18']
['54/150', '0.678215', '0.367048', '0.887244', '0.991397', '0.677497', '0.917574', '1.877355', '1.595650', '0.640600', '0.879600', '0.614100', '0.870800', '0:02:19']
['55/150', '0.682771', '0.364970', '0.886664', '0.990817', '0.680658', '0.921375', '1.829283', '1.543777', '0.646300', '0.881400', '0.608700', '0.871000', '0:02:18']
['56/150', '0.687918', '0.366283', '0.886844', '0.990777', '0.685779', '0.920755', '1.873950', '1.577180', '0.642200', '0.881800', '0.617300', '0.874000', '0:02:19']
['57/150', '0.690053', '0.361208', '0.890925', '0.990417', '0.688820', '0.921455', '1.873530', '1.559925', '0.643800', '0.882000', '0.606400', '0.872700', '0:02:19']
['58/150', '0.693084', '0.360290', '0.890825', '0.990497', '0.688480', '0.923215', '1.879620', '1.573041', '0.639300', '0.880600', '0.602200', '0.866800', '0:02:18']
['59/150', '0.697133', '0.357390', '0.892065', '0.991937', '0.691661', '0.924476', '1.805440', '1.494972', '0.652400', '0.887900', '0.620500', '0.873500', '0:02:19']
['60/150', '0.691540', '0.346998', '0.894106', '0.991357', '0.696603', '0.927477', '1.883543', '1.555096', '0.640800', '0.880300', '0.609800', '0.870400', '0:02:18']
['61/150', '0.697992', '0.350686', '0.894386', '0.991237', '0.699524', '0.926757', '1.803548', '1.480209', '0.647400', '0.889600', '0.613900', '0.876400', '0:02:18']
['62/150', '0.700477', '0.350950', '0.893866', '0.992058', '0.702205', '0.927137', '1.882913', '1.549360', '0.646300', '0.881200', '0.610300', '0.865900', '0:02:19']
['63/150', '0.701058', '0.344218', '0.896607', '0.991877', '0.702985', '0.929918', '1.800273', '1.460678', '0.656800', '0.889200', '0.617700', '0.873100', '0:02:18']
['64/150', '0.704119', '0.344953', '0.896327', '0.991957', '0.709887', '0.931818', '1.802335', '1.459005', '0.653300', '0.891000', '0.619500', '0.878500', '0:02:18']
['65/150', '0.700948', '0.340435', '0.899268', '0.992158', '0.714389', '0.931878', '1.756633', '1.423544', '0.655200', '0.892800', '0.629900', '0.882200', '0:02:18']
['66/150', '0.705441', '0.345226', '0.897427', '0.992117', '0.715809', '0.934599', '1.772343', '1.421582', '0.654000', '0.886600', '0.620900', '0.874000', '0:02:18']
['67/150', '0.709848', '0.343397', '0.896867', '0.992758', '0.714669', '0.934099', '1.781202', '1.428066', '0.655200', '0.890600', '0.622200', '0.878400', '0:02:18']
['68/150', '0.713888', '0.342093', '0.898648', '0.992598', '0.720170', '0.937340', '1.725927', '1.380524', '0.661900', '0.890300', '0.626600', '0.881900', '0:02:19']
['69/150', '0.714345', '0.343154', '0.898347', '0.992858', '0.721891', '0.937360', '1.791249', '1.437756', '0.655600', '0.891000', '0.624000', '0.882000', '0:02:19']
['70/150', '0.716144', '0.342971', '0.899848', '0.992318', '0.724092', '0.937400', '1.720289', '1.375135', '0.660900', '0.894500', '0.631600', '0.885600', '0:02:18']
['71/150', '0.712237', '0.338154', '0.899708', '0.992598', '0.728333', '0.938720', '1.713338', '1.365491', '0.665700', '0.896500', '0.632100', '0.881000', '0:02:19']
['72/150', '0.711429', '0.340352', '0.900108', '0.992518', '0.731694', '0.940161', '1.742624', '1.376686', '0.662600', '0.894000', '0.629300', '0.882300', '0:02:19']
['73/150', '0.717764', '0.344991', '0.901388', '0.992238', '0.733795', '0.939221', '1.730626', '1.368270', '0.663100', '0.896200', '0.627300', '0.884600', '0:02:18']
['74/150', '0.712784', '0.340342', '0.900528', '0.991817', '0.734915', '0.942922', '1.708280', '1.342376', '0.661800', '0.895200', '0.634100', '0.889900', '0:02:19']
['75/150', '0.711876', '0.337924', '0.902929', '0.992678', '0.739937', '0.943622', '1.706299', '1.343889', '0.663500', '0.897600', '0.640300', '0.888000', '0:02:19']
