['1/150', '3.600419', '3.600419', '0.160731', '0.396447', '0.011144', '0.055998', '3.198768', '3.198768', '0.227500', '0.503100', '0.014600', '0.060000', '0:02:20']
['2/150', '3.018861', '3.018861', '0.258183', '0.549056', '0.011244', '0.057798', '2.835407', '2.835407', '0.296300', '0.589000', '0.014500', '0.069000', '0:02:18']
['3/150', '2.751572', '2.751233', '0.306838', '0.613997', '0.016525', '0.073844', '2.588469', '2.588094', '0.339300', '0.651300', '0.021400', '0.099100', '0:02:19']
['4/150', '2.569920', '2.568473', '0.341289', '0.656530', '0.035451', '0.136544', '2.435105', '2.433527', '0.378900', '0.683700', '0.052100', '0.198000', '0:02:19']
['5/150', '2.442655', '2.439560', '0.368658', '0.684879', '0.070443', '0.238296', '2.476900', '2.473765', '0.376500', '0.684800', '0.093600', '0.308800', '0:02:19']
['6/150', '2.322207', '2.317584', '0.394226', '0.712508', '0.121239', '0.356254', '2.245777', '2.241524', '0.414800', '0.726600', '0.169000', '0.448800', '0:02:19']
['7/150', '2.207690', '2.202024', '0.416573', '0.735255', '0.189601', '0.469910', '2.241055', '2.235842', '0.420000', '0.732600', '0.228900', '0.524000', '0:02:19']
['8/150', '2.104831', '2.098150', '0.437840', '0.757362', '0.243238', '0.540973', '2.096181', '2.089991', '0.440400', '0.753700', '0.284100', '0.596800', '0:02:19']
['9/150', '1.996071', '1.988000', '0.463588', '0.778129', '0.279209', '0.590549', '2.070420', '2.062774', '0.457500', '0.761200', '0.303400', '0.625600', '0:02:19']
['10/150', '1.899921', '1.890162', '0.487156', '0.795094', '0.309299', '0.631442', '2.050214', '2.040651', '0.468900', '0.767400', '0.338300', '0.653500', '0:02:19']
['11/150', '1.801513', '1.789643', '0.507422', '0.814381', '0.334167', '0.655750', '1.928318', '1.914996', '0.494800', '0.789300', '0.358900', '0.680000', '0:02:19']
['12/150', '1.715084', '1.700562', '0.527869', '0.829906', '0.355614', '0.682218', '1.887077', '1.872819', '0.512900', '0.800400', '0.384700', '0.700700', '0:02:19']
['13/150', '1.628578', '1.611227', '0.550496', '0.844630', '0.375800', '0.700944', '1.916218', '1.897881', '0.505300', '0.802400', '0.381200', '0.699200', '0:02:19']
['14/150', '1.548585', '1.527798', '0.568762', '0.858635', '0.391345', '0.714249', '1.803684', '1.783129', '0.532600', '0.814200', '0.422700', '0.738800', '0:02:19']
['15/150', '1.470949', '1.446158', '0.591829', '0.871259', '0.403329', '0.729754', '1.778221', '1.752825', '0.543200', '0.824500', '0.425100', '0.736100', '0:02:19']
['16/150', '1.386900', '1.357720', '0.611296', '0.884343', '0.418954', '0.741117', '1.720109', '1.693181', '0.563100', '0.837400', '0.453000', '0.762200', '0:02:19']
['17/150', '1.311867', '1.277997', '0.630762', '0.896287', '0.432839', '0.750580', '1.851812', '1.816389', '0.543000', '0.826100', '0.445100', '0.754900', '0:02:19']
['18/150', '1.253924', '1.214633', '0.645006', '0.905630', '0.443902', '0.762204', '1.760759', '1.723941', '0.561700', '0.842100', '0.464700', '0.773400', '0:02:19']
['19/150', '1.178745', '1.133490', '0.667053', '0.917674', '0.454165', '0.771087', '1.697659', '1.655843', '0.578800', '0.846400', '0.483800', '0.792200', '0:02:19']
['20/150', '1.125545', '1.073978', '0.682198', '0.923776', '0.464109', '0.777409', '1.756115', '1.706168', '0.572400', '0.846100', '0.478400', '0.777700', '0:02:19']
['21/150', '1.072836', '1.014171', '0.698604', '0.931698', '0.469790', '0.785471', '1.810051', '1.751421', '0.572900', '0.843900', '0.483200', '0.779800', '0:02:19']
['22/150', '1.039718', '0.973650', '0.709327', '0.937680', '0.475192', '0.790493', '1.731543', '1.670231', '0.581900', '0.844400', '0.493800', '0.790300', '0:02:19']
['23/150', '0.990851', '0.916918', '0.724812', '0.943242', '0.484395', '0.794154', '1.747952', '1.680933', '0.584200', '0.852600', '0.501200', '0.804100', '0:02:19']
['24/150', '0.958248', '0.876428', '0.736096', '0.948303', '0.489517', '0.803897', '1.727907', '1.654322', '0.591400', '0.856400', '0.509700', '0.804900', '0:02:19']
['25/150', '0.926141', '0.835473', '0.746879', '0.953245', '0.496819', '0.803377', '1.739337', '1.657042', '0.588000', '0.855700', '0.511000', '0.806800', '0:02:19']
['26/150', '0.892553', '0.792282', '0.757582', '0.958667', '0.503541', '0.808299', '1.789894', '1.694073', '0.591200', '0.848600', '0.491200', '0.796000', '0:02:19']
['27/150', '0.870795', '0.762080', '0.767206', '0.960687', '0.508923', '0.814261', '1.792744', '1.691166', '0.601700', '0.863100', '0.515100', '0.812200', '0:02:19']
['28/150', '0.845481', '0.726562', '0.774708', '0.964069', '0.514525', '0.816981', '1.777072', '1.674630', '0.601800', '0.863000', '0.534600', '0.821600', '0:02:19']
['29/150', '0.824253', '0.695154', '0.786172', '0.966669', '0.518986', '0.822183', '1.811552', '1.698699', '0.603500', '0.852900', '0.534800', '0.821800', '0:02:19']
['30/150', '0.809263', '0.671309', '0.791953', '0.968770', '0.525808', '0.822443', '1.828397', '1.709954', '0.595300', '0.859100', '0.526400', '0.823100', '0:02:19']
['31/150', '0.787395', '0.636960', '0.801717', '0.972651', '0.528049', '0.828445', '1.831925', '1.695969', '0.598000', '0.862600', '0.532300', '0.820100', '0:02:19']
['32/150', '0.792210', '0.632038', '0.802357', '0.972911', '0.531690', '0.830426', '1.910025', '1.770071', '0.602100', '0.854900', '0.533200', '0.821300', '0:02:19']
['33/150', '0.775283', '0.603793', '0.811380', '0.976172', '0.536032', '0.831826', '1.807248', '1.660382', '0.610800', '0.866900', '0.548400', '0.830900', '0:02:19']
['34/150', '0.762711', '0.580341', '0.817602', '0.977073', '0.540613', '0.836268', '1.856483', '1.703950', '0.607700', '0.862100', '0.548000', '0.830500', '0:02:19']
['35/150', '0.754100', '0.560100', '0.824424', '0.978993', '0.541653', '0.837208', '1.911630', '1.744614', '0.603400', '0.862700', '0.540200', '0.828200', '0:02:19']
['36/150', '0.750662', '0.545385', '0.829966', '0.979233', '0.548235', '0.841469', '1.862430', '1.685991', '0.611100', '0.866300', '0.536800', '0.826300', '0:02:19']
['37/150', '0.745697', '0.530567', '0.834367', '0.980814', '0.551677', '0.844210', '1.901237', '1.718427', '0.606500', '0.862000', '0.545700', '0.828800', '0:02:19']
['38/150', '0.743437', '0.515543', '0.839249', '0.982174', '0.556378', '0.848372', '1.942721', '1.745510', '0.601100', '0.861300', '0.553600', '0.832000', '0:02:19']
['39/150', '0.747201', '0.509604', '0.840089', '0.981554', '0.558359', '0.848692', '1.931015', '1.724419', '0.607700', '0.858600', '0.542700', '0.828700', '0:02:19']
['40/150', '0.731127', '0.481749', '0.849632', '0.984635', '0.563280', '0.851613', '1.897237', '1.686923', '0.615100', '0.871900', '0.554200', '0.832100', '0:02:19']
['41/150', '0.747958', '0.486006', '0.846971', '0.983695', '0.565961', '0.852073', '1.886802', '1.665331', '0.615400', '0.868000', '0.559400', '0.841200', '0:02:19']
['42/150', '0.741045', '0.469268', '0.851973', '0.985115', '0.570903', '0.858495', '1.876401', '1.651830', '0.618800', '0.868200', '0.558500', '0.837900', '0:02:19']
