['66/150', '0.221356', '0.930058', '0.995939', '2.044136', '0.621000', '0.864000', '0:01:12']
['67/150', '0.215998', '0.930438', '0.996119', '2.069593', '0.616300', '0.854700', '0:01:09']
['68/150', '0.209207', '0.933799', '0.996239', '2.061117', '0.626800', '0.866800', '0:01:11']
['69/150', '0.201480', '0.935299', '0.997119', '2.087250', '0.624300', '0.863000', '0:01:10']
['70/150', '0.194654', '0.937020', '0.996819', '2.100786', '0.625700', '0.864200', '0:01:09']
['71/150', '0.194734', '0.937860', '0.996639', '2.189097', '0.615800', '0.858500', '0:01:13']
['72/150', '0.184879', '0.939981', '0.997199', '2.070544', '0.628800', '0.859800', '0:01:07']
['73/150', '0.179213', '0.942382', '0.997299', '2.106408', '0.620000', '0.863900', '0:01:10']
['74/150', '0.173006', '0.944862', '0.997419', '2.046543', '0.630400', '0.866000', '0:01:11']
['75/150', '0.173820', '0.945182', '0.997579', '2.054735', '0.633500', '0.867300', '0:01:10']
['76/150', '0.161158', '0.948384', '0.997639', '2.044162', '0.631800', '0.869500', '0:01:10']
['77/150', '0.159214', '0.949304', '0.997759', '2.094771', '0.630500', '0.868100', '0:01:12']
['78/150', '0.154739', '0.950604', '0.997479', '2.086020', '0.625300', '0.869300', '0:01:08']
['79/150', '0.150414', '0.951725', '0.997979', '2.084577', '0.639300', '0.870800', '0:01:11']
['80/150', '0.144331', '0.954005', '0.998079', '2.070996', '0.637800', '0.872900', '0:01:11']
['81/150', '0.142160', '0.955566', '0.997839', '2.130076', '0.624700', '0.863100', '0:01:10']
['82/150', '0.133808', '0.957206', '0.998219', '2.063569', '0.631700', '0.873600', '0:01:10']
['83/150', '0.131087', '0.957666', '0.998319', '2.104138', '0.627600', '0.872200', '0:01:11']
['84/150', '0.123404', '0.960487', '0.998620', '2.082660', '0.634800', '0.872900', '0:01:09']
['85/150', '0.120473', '0.961928', '0.998439', '2.120505', '0.630700', '0.867600', '0:01:11']
['86/150', '0.116070', '0.963248', '0.998740', '2.084325', '0.640500', '0.873900', '0:01:10']
['87/150', '0.111446', '0.964189', '0.998920', '2.086858', '0.641200', '0.873800', '0:01:09']
['88/150', '0.110446', '0.964909', '0.998700', '2.126538', '0.636100', '0.873400', '0:01:13']
['89/150', '0.103316', '0.965709', '0.999240', '2.053295', '0.640100', '0.873400', '0:01:07']
['90/150', '0.101927', '0.967730', '0.998960', '2.078615', '0.639900', '0.871200', '0:01:10']
['91/150', '0.096412', '0.969510', '0.999000', '2.102768', '0.642600', '0.875800', '0:01:11']
['92/150', '0.095960', '0.970331', '0.999200', '2.104731', '0.644000', '0.869200', '0:01:10']
['93/150', '0.091580', '0.971431', '0.999020', '2.078257', '0.641300', '0.876600', '0:01:10']
['94/150', '0.086274', '0.973031', '0.999260', '2.070230', '0.641900', '0.872500', '0:01:12']
['95/150', '0.082218', '0.974652', '0.999220', '2.213502', '0.638000', '0.870800', '0:01:07']
['96/150', '0.083208', '0.973812', '0.999360', '2.131488', '0.639700', '0.871100', '0:01:10']
['97/150', '0.077088', '0.975672', '0.999220', '2.136322', '0.640100', '0.871500', '0:01:11']
['98/150', '0.072992', '0.977333', '0.999420', '2.136108', '0.648300', '0.875200', '0:01:10']
['99/150', '0.070011', '0.978393', '0.999180', '2.111442', '0.643900', '0.872000', '0:01:10']
['100/150', '0.067684', '0.979033', '0.999480', '2.098426', '0.641700', '0.874400', '0:01:12']
['101/150', '0.066157', '0.979053', '0.999560', '2.072431', '0.647300', '0.877200', '0:01:08']
['102/150', '0.064124', '0.980694', '0.999500', '2.112596', '0.647200', '0.875000', '0:01:10']
['103/150', '0.062383', '0.980654', '0.999520', '2.130727', '0.643200', '0.877300', '0:01:11']
['104/150', '0.056706', '0.982534', '0.999580', '2.170739', '0.643400', '0.874500', '0:01:10']
['105/150', '0.053458', '0.983395', '0.999700', '2.156370', '0.644200', '0.873900', '0:01:10']
['106/150', '0.051336', '0.984095', '0.999680', '2.136161', '0.649100', '0.873000', '0:01:12']
['107/150', '0.048375', '0.984775', '0.999600', '2.134850', '0.650100', '0.878100', '0:01:09']
['108/150', '0.046444', '0.985956', '0.999640', '2.090562', '0.650000', '0.877000', '0:01:11']
