['1/150', '3.611524', '3.611524', '0.157130', '0.394526', '0.026008', '0.109035', '3.169163', '3.169163', '0.235800', '0.521600', '0.034300', '0.136600', '0:02:36']
['2/150', '3.052481', '3.052481', '0.251080', '0.538792', '0.036432', '0.142706', '2.799478', '2.799478', '0.303900', '0.605800', '0.047900', '0.169800', '0:02:25']
['3/150', '2.786451', '2.786173', '0.300236', '0.604954', '0.062940', '0.208787', '2.644090', '2.643791', '0.329800', '0.641200', '0.094100', '0.283900', '0:02:21']
['4/150', '2.599534', '2.598509', '0.334627', '0.649168', '0.115117', '0.335127', '2.527551', '2.526500', '0.358000', '0.674300', '0.151900', '0.407600', '0:02:30']
['5/150', '2.462048', '2.460202', '0.364977', '0.683119', '0.176076', '0.444762', '2.496441', '2.494780', '0.368800', '0.678800', '0.220100', '0.505300', '0:02:29']
['6/150', '2.346717', '2.344534', '0.387844', '0.703925', '0.246459', '0.550316', '2.403260', '2.401333', '0.393400', '0.700400', '0.282000', '0.586100', '0:02:29']
['7/150', '2.227900', '2.225517', '0.411072', '0.731954', '0.301276', '0.623680', '2.243951', '2.241691', '0.413400', '0.737800', '0.338500', '0.656800', '0:02:30']
['8/150', '2.110634', '2.107829', '0.436560', '0.755642', '0.343570', '0.664012', '2.099056', '2.096385', '0.446500', '0.758600', '0.375100', '0.694700', '0:02:31']
['9/150', '2.002056', '1.998507', '0.463568', '0.775608', '0.371519', '0.695302', '1.991730', '1.988255', '0.477400', '0.776000', '0.413200', '0.731700', '0:02:31']
['10/150', '1.893244', '1.888700', '0.484255', '0.794794', '0.398287', '0.718590', '1.969941', '1.965268', '0.476700', '0.785800', '0.413300', '0.733900', '0:02:26']
['11/150', '1.800039', '1.794321', '0.507522', '0.812060', '0.421075', '0.739877', '1.893185', '1.887344', '0.499700', '0.798000', '0.444200', '0.756600', '0:02:30']
['12/150', '1.707627', '1.700348', '0.528369', '0.829806', '0.439901', '0.758723', '1.789835', '1.782891', '0.527600', '0.811600', '0.471200', '0.774100', '0:02:32']
['13/150', '1.622952', '1.613891', '0.548456', '0.843610', '0.460267', '0.776729', '1.821401', '1.812454', '0.522300', '0.810400', '0.465700', '0.771200', '0:02:27']
['14/150', '1.540343', '1.529351', '0.568582', '0.857454', '0.480034', '0.789093', '1.747583', '1.736296', '0.543100', '0.822800', '0.495200', '0.791800', '0:02:31']
['15/150', '1.465345', '1.451931', '0.586968', '0.870038', '0.495098', '0.802137', '1.790835', '1.777764', '0.536600', '0.817900', '0.487200', '0.790300', '0:02:30']
['16/150', '1.380417', '1.364367', '0.609075', '0.884723', '0.508743', '0.814161', '1.721126', '1.705358', '0.553400', '0.835600', '0.511800', '0.803400', '0:02:28']
['17/150', '1.296903', '1.277864', '0.628561', '0.896787', '0.527189', '0.827005', '1.717647', '1.699296', '0.563500', '0.835800', '0.516500', '0.808900', '0:02:25']
['18/150', '1.228541', '1.206127', '0.647507', '0.906190', '0.536492', '0.833967', '1.724114', '1.702822', '0.562100', '0.837200', '0.524200', '0.816500', '0:02:29']
['19/150', '1.166635', '1.140739', '0.664033', '0.914273', '0.547315', '0.842530', '1.704517', '1.679903', '0.573700', '0.844600', '0.538100', '0.821100', '0:02:31']
