['1/150', '3.616147', '3.616148', '0.158151', '0.390445', '0.008943', '0.050856', '3.122346', '3.122346', '0.245400', '0.520500', '0.010400', '0.052600', '0:02:17']
['2/150', '3.021164', '3.021164', '0.256262', '0.546875', '0.010183', '0.053037', '2.780791', '2.780791', '0.303300', '0.605200', '0.009200', '0.050700', '0:02:16']
['3/150', '2.735363', '2.735018', '0.309639', '0.617418', '0.012724', '0.062520', '2.671904', '2.671506', '0.335100', '0.638700', '0.016000', '0.069400', '0:02:16']
['4/150', '2.539025', '2.537508', '0.350572', '0.661752', '0.030190', '0.110035', '2.422236', '2.420611', '0.379700', '0.690300', '0.041400', '0.142400', '0:02:16']
['5/150', '2.401312', '2.397883', '0.377741', '0.694902', '0.047375', '0.179798', '2.388321', '2.384699', '0.392000', '0.698500', '0.058300', '0.220600', '0:02:16']
['6/150', '2.293043', '2.287459', '0.398147', '0.718130', '0.069122', '0.261644', '2.336792', '2.331143', '0.404300', '0.714800', '0.100800', '0.332700', '0:02:16']
['7/150', '2.187688', '2.180277', '0.422695', '0.739777', '0.121279', '0.367798', '2.196337', '2.189366', '0.431700', '0.736800', '0.159400', '0.432200', '0:02:16']
['8/150', '2.085201', '2.076298', '0.441461', '0.761264', '0.177657', '0.459727', '2.025941', '2.017677', '0.468200', '0.773100', '0.225300', '0.539500', '0:02:16']
['9/150', '1.979438', '1.968759', '0.469390', '0.780270', '0.220891', '0.522867', '2.344697', '2.334424', '0.424700', '0.721200', '0.243600', '0.552500', '0:02:16']
['10/150', '1.884956', '1.872134', '0.488636', '0.798275', '0.255482', '0.571083', '2.137668', '2.124250', '0.455800', '0.759300', '0.285600', '0.599300', '0:02:16']
['11/150', '1.795319', '1.779999', '0.510543', '0.816561', '0.284191', '0.605774', '1.918050', '1.902100', '0.499000', '0.790600', '0.305100', '0.629300', '0:02:16']
['12/150', '1.716123', '1.697729', '0.529409', '0.829826', '0.304477', '0.630522', '1.849896', '1.830790', '0.511200', '0.812500', '0.350100', '0.660300', '0:02:16']
['13/150', '1.630176', '1.608072', '0.551116', '0.843710', '0.327285', '0.653669', '1.866928', '1.844113', '0.515500', '0.801200', '0.349700', '0.674300', '0:02:16']
['14/150', '1.549319', '1.522947', '0.570523', '0.858155', '0.343410', '0.667174', '1.813654', '1.787084', '0.534500', '0.815100', '0.355300', '0.676600', '0:02:16']
['15/150', '1.480521', '1.449522', '0.587808', '0.869778', '0.352633', '0.682778', '1.693260', '1.664360', '0.555600', '0.838100', '0.397300', '0.720200', '0:02:16']
['16/150', '1.403579', '1.366997', '0.608075', '0.883323', '0.366977', '0.693382', '1.722683', '1.686273', '0.558900', '0.835700', '0.401400', '0.723800', '0:02:16']
