['1/150', '4.032867', '3.877337', '0.114892', '0.327118', '0.090287', '0.281633', '3.596721', '3.462842', '0.173400', '0.438600', '0.125600', '0.377500', '0:00:46']
['2/150', '3.335485', '3.211832', '0.217522', '0.506182', '0.182245', '0.457051', '3.257714', '3.045605', '0.260200', '0.559200', '0.208600', '0.496500', '0:00:46']
['3/150', '2.998455', '2.868309', '0.283002', '0.595663', '0.245953', '0.552231', '3.035635', '2.893682', '0.275800', '0.583200', '0.245700', '0.545200', '0:00:47']
['4/150', '2.812900', '2.688832', '0.321017', '0.639799', '0.289908', '0.607019', '3.533014', '3.396828', '0.304100', '0.609600', '0.271600', '0.558300', '0:00:46']
['5/150', '2.548399', '2.440198', '0.364872', '0.691044', '0.333803', '0.662291', '2.840121', '2.683137', '0.327400', '0.645600', '0.316500', '0.641800', '0:00:47']
['6/150', '2.365963', '2.257272', '0.396887', '0.727851', '0.372382', '0.702682', '4.011023', '3.530921', '0.283300', '0.580800', '0.300100', '0.613400', '0:00:46']
['7/150', '2.257896', '2.150087', '0.421029', '0.748268', '0.397854', '0.724972', '2.765908', '2.596246', '0.356400', '0.672700', '0.325500', '0.648100', '0:00:46']
['8/150', '2.188065', '2.080657', '0.436513', '0.761960', '0.415170', '0.742610', '2.760552', '2.539854', '0.358200', '0.683700', '0.349700', '0.668000', '0:00:46']
['9/150', '2.085128', '1.979366', '0.459830', '0.783002', '0.438889', '0.764518', '2.471102', '2.313026', '0.405000', '0.720500', '0.380600', '0.704600', '0:00:46']
['10/150', '1.980696', '1.879613', '0.481516', '0.801486', '0.463615', '0.783868', '2.566474', '2.412665', '0.392500', '0.699000', '0.370300', '0.675000', '0:00:47']
['11/150', '1.916005', '1.814894', '0.497121', '0.810486', '0.475656', '0.794398', '2.603892', '2.413288', '0.405100', '0.708400', '0.369900', '0.685100', '0:00:48']
['12/150', '1.844082', '1.741266', '0.516732', '0.824037', '0.494584', '0.808171', '2.491411', '2.310819', '0.418500', '0.730300', '0.410400', '0.719900', '0:00:46']
['13/150', '1.793337', '1.689049', '0.523941', '0.832676', '0.501611', '0.815581', '2.070588', '1.911369', '0.490900', '0.789500', '0.457700', '0.761700', '0:00:47']
['14/150', '1.729178', '1.623088', '0.541177', '0.844435', '0.520337', '0.828971', '2.479970', '2.255754', '0.436400', '0.741000', '0.403300', '0.723500', '0:00:47']
['15/150', '1.646666', '1.544630', '0.562218', '0.856073', '0.539546', '0.841253', '2.173667', '2.004808', '0.486200', '0.778900', '0.467600', '0.766000', '0:00:46']
['16/150', '1.592599', '1.490770', '0.571903', '0.865114', '0.549432', '0.850354', '2.120917', '1.954408', '0.485500', '0.794500', '0.466000', '0.776200', '0:00:46']
['17/150', '1.530941', '1.426134', '0.589280', '0.875101', '0.564211', '0.860744', '2.156132', '1.979023', '0.488100', '0.789800', '0.472200', '0.775500', '0:00:46']
['18/150', '1.474936', '1.370448', '0.602146', '0.882631', '0.577722', '0.868657', '2.571983', '2.347476', '0.444700', '0.747200', '0.411800', '0.712200', '0:00:46']
['19/150', '1.417353', '1.311340', '0.618778', '0.892236', '0.593669', '0.877517', '2.180450', '1.978789', '0.500500', '0.793700', '0.480500', '0.781100', '0:00:47']
['20/150', '1.358624', '1.250597', '0.631262', '0.901579', '0.607663', '0.887846', '2.171358', '1.964683', '0.512100', '0.802000', '0.511200', '0.801700', '0:00:46']
['21/150', '1.315654', '1.204535', '0.641491', '0.906894', '0.613120', '0.891451', '2.099598', '1.912570', '0.516500', '0.801800', '0.522800', '0.807100', '0:00:46']
['22/150', '1.275285', '1.162063', '0.656250', '0.913136', '0.626973', '0.897572', '2.307723', '2.085836', '0.496600', '0.784600', '0.500300', '0.798300', '0:00:46']
['23/150', '1.227403', '1.110009', '0.668774', '0.920224', '0.636397', '0.904498', '2.065067', '1.879069', '0.523600', '0.818900', '0.516100', '0.810500', '0:00:46']
['24/150', '1.191204', '1.074631', '0.677654', '0.925097', '0.645176', '0.910418', '2.052113', '1.826619', '0.543000', '0.825000', '0.525000', '0.816200', '0:00:47']
