['1/150', '3.997182', '3.856614', '0.121960', '0.337025', '0.094857', '0.286707', '3.657431', '3.535478', '0.157500', '0.420600', '0.118900', '0.354100', '0:00:48']
['2/150', '3.312563', '3.206221', '0.217280', '0.504389', '0.183413', '0.461058', '3.235467', '3.078134', '0.250800', '0.543400', '0.213400', '0.496000', '0:00:47']
['3/150', '3.045672', '2.931943', '0.274424', '0.585112', '0.239530', '0.545929', '3.100927', '2.970226', '0.293300', '0.605100', '0.255400', '0.559200', '0:00:47']
['4/150', '2.964670', '2.847377', '0.293291', '0.613644', '0.262222', '0.577561', '3.058226', '2.904717', '0.281200', '0.581200', '0.249400', '0.550800', '0:00:47']
['5/150', '2.765196', '2.654309', '0.326856', '0.651136', '0.303661', '0.625040', '2.889200', '2.781206', '0.303200', '0.617700', '0.273500', '0.581500', '0:00:47']
['6/150', '2.569516', '2.463678', '0.359778', '0.684359', '0.333783', '0.661747', '2.503655', '2.407059', '0.374900', '0.692900', '0.359600', '0.672800', '0:00:47']
['7/150', '2.406262', '2.315356', '0.386880', '0.712387', '0.364731', '0.691829', '2.721931', '2.570702', '0.352400', '0.663600', '0.333200', '0.646300', '0:00:47']
['8/150', '2.314373', '2.221468', '0.408364', '0.731133', '0.389195', '0.712206', '2.624437', '2.497125', '0.365700', '0.673500', '0.338800', '0.643900', '0:00:47']
['9/150', '2.218628', '2.125740', '0.430553', '0.752376', '0.410156', '0.733268', '2.736443', '2.587891', '0.355000', '0.669200', '0.306500', '0.628400', '0:00:48']
['10/150', '2.120208', '2.028688', '0.446903', '0.771162', '0.431037', '0.753302', '2.437704', '2.289658', '0.409100', '0.722700', '0.401600', '0.712300', '0:00:47']
['11/150', '2.257681', '2.145355', '0.427392', '0.746879', '0.407639', '0.731093', '3.204257', '2.938362', '0.305100', '0.614400', '0.285200', '0.578200', '0:00:47']
['12/150', '2.063520', '1.968684', '0.463837', '0.782176', '0.443520', '0.766169', '2.349405', '2.230115', '0.416600', '0.724800', '0.403700', '0.710300', '0:00:47']
['13/150', '1.938299', '1.842503', '0.492006', '0.804506', '0.472757', '0.789344', '2.528641', '2.353469', '0.402700', '0.711500', '0.373900', '0.695200', '0:00:47']
['14/150', '1.853188', '1.760741', '0.508578', '0.819225', '0.488704', '0.804547', '2.711959', '2.549703', '0.391300', '0.694600', '0.379400', '0.682400', '0:00:48']
['15/150', '1.795273', '1.699726', '0.523417', '0.830662', '0.503524', '0.815339', '2.092225', '1.937150', '0.485500', '0.782000', '0.459600', '0.762700', '0:00:47']
['16/150', '1.725092', '1.628235', '0.538942', '0.843468', '0.515625', '0.826212', '2.337804', '2.183868', '0.440200', '0.748500', '0.413300', '0.721600', '0:00:47']
['17/150', '1.648501', '1.552403', '0.560889', '0.854663', '0.537150', '0.841092', '2.397373', '2.233091', '0.438600', '0.745300', '0.429400', '0.739200', '0:00:47']
['18/150', '1.598995', '1.498326', '0.573051', '0.862134', '0.548224', '0.845864', '2.286266', '2.106822', '0.459400', '0.767700', '0.431200', '0.741600', '0:00:47']
['19/150', '1.550912', '1.442766', '0.584649', '0.871718', '0.558976', '0.856234', '2.164211', '1.976501', '0.491400', '0.791100', '0.462900', '0.770300', '0:00:48']
['20/150', '1.497485', '1.388059', '0.598562', '0.881725', '0.572366', '0.864107', '2.365479', '2.083532', '0.470000', '0.777300', '0.437400', '0.751000', '0:00:47']
['21/150', '1.451726', '1.340678', '0.609878', '0.889356', '0.582937', '0.871496', '2.280527', '2.092057', '0.486000', '0.783100', '0.472100', '0.772000', '0:00:47']
['22/150', '1.380727', '1.274175', '0.626973', '0.898176', '0.597696', '0.881504', '2.270682', '1.962972', '0.505800', '0.795200', '0.464200', '0.762300', '0:00:48']
['23/150', '1.338990', '1.227236', '0.639920', '0.904619', '0.608429', '0.888007', '2.268887', '2.031170', '0.496300', '0.796200', '0.474200', '0.785200', '0:00:48']
['24/150', '1.295061', '1.181112', '0.650854', '0.910559', '0.618657', '0.893142', '2.099807', '1.902201', '0.517000', '0.806500', '0.499600', '0.797200', '0:00:47']
['25/150', '1.295350', '1.176053', '0.654800', '0.911767', '0.623933', '0.895800', '2.553242', '2.292531', '0.477900', '0.773700', '0.480200', '0.773000', '0:00:47']
['26/150', '1.249453', '1.126147', '0.664324', '0.917828', '0.629591', '0.900471', '1.959861', '1.781543', '0.549800', '0.828000', '0.542800', '0.822100', '0:00:48']
['27/150', '1.228911', '1.107783', '0.670868', '0.922056', '0.636417', '0.904498', '2.144376', '1.938152', '0.533200', '0.809900', '0.516500', '0.801500', '0:00:48']
['28/150', '1.191213', '1.067209', '0.681701', '0.926023', '0.643182', '0.909653', '2.294179', '2.061201', '0.508200', '0.796800', '0.500200', '0.791900', '0:00:47']
['29/150', '1.114902', '0.993484', '0.700004', '0.936272', '0.662975', '0.917083', '2.258494', '2.026393', '0.526700', '0.803700', '0.518500', '0.795700', '0:00:48']
['30/150', '1.094047', '0.968085', '0.708078', '0.937560', '0.668130', '0.920023', '2.331188', '2.038059', '0.524400', '0.811300', '0.506200', '0.797300', '0:00:48']
['31/150', '1.106487', '0.973223', '0.705179', '0.938507', '0.666157', '0.921654', '2.207829', '1.985294', '0.534100', '0.811900', '0.514300', '0.796700', '0:00:48']
['32/150', '1.032436', '0.903139', '0.725717', '0.946118', '0.682808', '0.928419', '2.087438', '1.851250', '0.549100', '0.824500', '0.532500', '0.813400', '0:00:49']
['33/150', '1.015853', '0.881672', '0.730469', '0.949501', '0.689071', '0.932184', '2.180360', '1.933348', '0.539800', '0.819400', '0.527400', '0.814600', '0:00:49']
['34/150', '1.018469', '0.875162', '0.729784', '0.950004', '0.688990', '0.931117', '2.255687', '1.884302', '0.553400', '0.832100', '0.521100', '0.814200', '0:00:48']
['35/150', '1.013271', '0.869498', '0.735583', '0.951776', '0.690319', '0.932506', '2.297989', '1.974753', '0.538400', '0.816300', '0.521000', '0.808200', '0:00:48']
['36/150', '0.952360', '0.815356', '0.747020', '0.955702', '0.705018', '0.937560', '2.091424', '1.872291', '0.558500', '0.829600', '0.542100', '0.822600', '0:00:49']
['37/150', '0.910844', '0.775419', '0.761014', '0.959729', '0.716817', '0.941950', '2.242200', '1.998272', '0.544900', '0.816700', '0.541500', '0.814900', '0:00:49']
['38/150', '0.914866', '0.772693', '0.761759', '0.961199', '0.717381', '0.943923', '2.252983', '1.967589', '0.544500', '0.832700', '0.523900', '0.813300', '0:00:49']
['39/150', '0.873515', '0.734119', '0.771444', '0.964320', '0.723260', '0.947970', '2.174200', '1.936936', '0.559800', '0.826100', '0.533900', '0.814400', '0:00:49']
['40/150', '0.845118', '0.703117', '0.780928', '0.967059', '0.732281', '0.950145', '2.340871', '2.050437', '0.542800', '0.816600', '0.507400', '0.791700', '0:00:49']
['41/150', '0.882932', '0.731215', '0.773961', '0.965468', '0.726683', '0.949581', '2.251943', '1.949331', '0.562600', '0.829200', '0.542700', '0.820900', '0:00:49']
['42/150', '0.823043', '0.677464', '0.788901', '0.969797', '0.739389', '0.953729', '2.416878', '2.129807', '0.535600', '0.813000', '0.523800', '0.811900', '0:00:48']
