['38/150', '0.842850', '0.701682', '0.778612', '0.967864', '0.732663', '0.951373', '2.403153', '2.107528', '0.542700', '0.821200', '0.525300', '0.807600', '0:00:47']
['39/150', '0.795074', '0.659706', '0.790633', '0.970522', '0.746839', '0.955279', '2.073641', '1.831043', '0.571400', '0.844100', '0.565600', '0.842900', '0:00:46']
['40/150', '0.791318', '0.651836', '0.794096', '0.970784', '0.746335', '0.958139', '2.218180', '1.974929', '0.563800', '0.833500', '0.560100', '0.837100', '0:00:46']
['41/150', '0.775825', '0.636053', '0.801305', '0.973542', '0.753040', '0.958300', '2.302723', '1.950984', '0.562200', '0.833900', '0.552700', '0.830700', '0:00:47']
['42/150', '0.753441', '0.614319', '0.805090', '0.974730', '0.761457', '0.960434', '2.272438', '1.989381', '0.562000', '0.839200', '0.551000', '0.834500', '0:00:46']
['43/150', '0.790020', '0.643310', '0.797640', '0.972475', '0.752154', '0.958622', '2.882785', '2.473405', '0.490400', '0.779400', '0.512600', '0.802000', '0:00:46']
['44/150', '0.757243', '0.617128', '0.803681', '0.974992', '0.757631', '0.962790', '2.139318', '1.897244', '0.575000', '0.838900', '0.570800', '0.841000', '0:00:46']
['45/150', '0.692850', '0.557278', '0.822346', '0.979482', '0.776357', '0.965770', '2.417206', '2.121607', '0.564500', '0.829300', '0.548900', '0.828800', '0:00:46']
['46/150', '0.692856', '0.551772', '0.824702', '0.979502', '0.776639', '0.964944', '2.304927', '1.947644', '0.575800', '0.839800', '0.550900', '0.824900', '0:00:46']
['47/150', '0.677831', '0.537575', '0.827924', '0.980811', '0.779901', '0.968347', '2.385325', '2.070643', '0.566600', '0.834600', '0.550300', '0.827100', '0:00:47']
['48/150', '0.660171', '0.517673', '0.833622', '0.982945', '0.786042', '0.970461', '2.202282', '1.894361', '0.588900', '0.845200', '0.578600', '0.848400', '0:00:47']
['49/150', '0.644222', '0.503378', '0.839179', '0.983368', '0.789385', '0.971347', '2.543174', '2.179077', '0.553000', '0.828600', '0.536000', '0.815200', '0:00:47']
['50/150', '0.642684', '0.501803', '0.840105', '0.983046', '0.792989', '0.972374', '2.139838', '1.877098', '0.590100', '0.852000', '0.580600', '0.851300', '0:00:47']
['51/150', '0.639988', '0.497434', '0.840589', '0.984194', '0.794318', '0.972656', '2.227935', '1.953302', '0.583700', '0.844500', '0.572800', '0.838100', '0:00:47']
['52/150', '0.608677', '0.472230', '0.848381', '0.984979', '0.800097', '0.974267', '2.416876', '2.059300', '0.579900', '0.845900', '0.553300', '0.831200', '0:00:46']
['53/150', '0.590421', '0.452142', '0.855529', '0.986731', '0.804627', '0.976341', '2.371209', '2.015634', '0.585200', '0.849000', '0.573000', '0.846400', '0:00:47']
['54/150', '0.591687', '0.453863', '0.854019', '0.986046', '0.806620', '0.975797', '2.456045', '2.170798', '0.555200', '0.830500', '0.558400', '0.835300', '0:00:46']
['55/150', '0.563641', '0.431441', '0.861389', '0.987858', '0.813104', '0.977750', '2.390001', '2.050604', '0.581800', '0.840400', '0.575800', '0.840100', '0:00:46']
['56/150', '0.552768', '0.418045', '0.865899', '0.988785', '0.818138', '0.979180', '2.416387', '2.050151', '0.584300', '0.845900', '0.557200', '0.831000', '0:00:46']
['57/150', '0.553672', '0.416348', '0.865315', '0.988785', '0.817332', '0.978657', '2.291855', '2.031833', '0.588900', '0.850100', '0.578500', '0.847600', '0:00:47']
['58/150', '0.535483', '0.403719', '0.869845', '0.989409', '0.823554', '0.980610', '2.307677', '2.019502', '0.588100', '0.851100', '0.588300', '0.849300', '0:00:46']
['59/150', '0.525017', '0.388691', '0.872926', '0.990496', '0.826454', '0.981395', '2.630004', '2.325989', '0.568300', '0.829300', '0.561200', '0.827100', '0:00:46']
['60/150', '0.523362', '0.387448', '0.874758', '0.990254', '0.827823', '0.982160', '2.407750', '2.077072', '0.588800', '0.845600', '0.568300', '0.836200', '0:00:47']
['61/150', '0.513261', '0.380295', '0.877899', '0.990476', '0.833340', '0.982120', '2.563335', '2.143850', '0.581500', '0.841700', '0.540800', '0.821400', '0:00:46']
['62/150', '0.494631', '0.365499', '0.881302', '0.990617', '0.836964', '0.982905', '2.571218', '1.994306', '0.594700', '0.851900', '0.557100', '0.830900', '0:00:47']
['63/150', '0.486593', '0.355693', '0.884645', '0.991684', '0.840226', '0.984536', '2.592249', '2.242198', '0.575300', '0.837500', '0.558600', '0.826600', '0:00:46']
['64/150', '0.472381', '0.343858', '0.888773', '0.992187', '0.840891', '0.984093', '2.695496', '2.235102', '0.580200', '0.841100', '0.561100', '0.833700', '0:00:46']
['65/150', '0.461726', '0.338089', '0.890202', '0.992167', '0.845904', '0.984355', '2.541243', '2.066191', '0.597200', '0.850900', '0.572500', '0.837900', '0:00:46']
['66/150', '0.461998', '0.337359', '0.891128', '0.992872', '0.846972', '0.985382', '2.365844', '2.061752', '0.600600', '0.848400', '0.587800', '0.844100', '0:00:46']
['67/150', '0.438795', '0.316612', '0.895981', '0.993436', '0.852650', '0.986409', '2.531412', '2.232002', '0.583800', '0.839100', '0.579500', '0.838400', '0:00:47']
['68/150', '0.419582', '0.300325', '0.902122', '0.994382', '0.860120', '0.987939', '2.724612', '2.171541', '0.585500', '0.839500', '0.545500', '0.820000', '0:00:47']
['69/150', '0.438505', '0.313149', '0.897431', '0.993798', '0.855509', '0.987214', '2.423650', '2.141691', '0.596900', '0.851600', '0.591500', '0.847700', '0:00:46']
['70/150', '0.405283', '0.289299', '0.906270', '0.994584', '0.865899', '0.988785', '2.816820', '2.229923', '0.591900', '0.846200', '0.564200', '0.835600', '0:00:46']
['71/150', '0.393453', '0.277083', '0.909250', '0.994644', '0.868375', '0.988764', '3.451968', '2.325566', '0.573800', '0.838900', '0.485600', '0.783600', '0:00:47']
['72/150', '0.416535', '0.296088', '0.904035', '0.993939', '0.860382', '0.987959', '2.609844', '2.140012', '0.597300', '0.853300', '0.567500', '0.840300', '0:00:47']
['73/150', '0.375552', '0.263689', '0.914948', '0.995308', '0.873007', '0.989147', '2.466699', '2.133271', '0.599000', '0.855900', '0.589100', '0.849900', '0:00:46']
['74/150', '0.370090', '0.257775', '0.916982', '0.995570', '0.876107', '0.990456', '2.756307', '2.168371', '0.590300', '0.848400', '0.545500', '0.823400', '0:00:47']
['75/150', '0.368367', '0.257306', '0.918613', '0.994765', '0.877779', '0.989791', '3.083983', '2.118311', '0.599900', '0.852500', '0.534600', '0.815400', '0:00:47']
['76/150', '0.345994', '0.239071', '0.922137', '0.996517', '0.881685', '0.991986', '2.546958', '2.119654', '0.603000', '0.855400', '0.571100', '0.838700', '0:00:47']
['77/150', '0.343436', '0.237845', '0.922237', '0.996013', '0.886014', '0.991281', '2.850204', '2.146125', '0.604800', '0.857700', '0.556300', '0.829000', '0:00:47']
['78/150', '0.331566', '0.226751', '0.927412', '0.996134', '0.889417', '0.992047', '2.691468', '2.157153', '0.606500', '0.857600', '0.581500', '0.841600', '0:00:47']
['79/150', '0.319316', '0.218312', '0.928902', '0.997000', '0.892779', '0.992469', '3.280025', '2.067195', '0.606200', '0.863700', '0.519300', '0.803800', '0:00:47']
['80/150', '0.313945', '0.214105', '0.930352', '0.996678', '0.895035', '0.992832', '3.283677', '2.193867', '0.606300', '0.852200', '0.522800', '0.800400', '0:00:46']
['81/150', '0.314698', '0.214227', '0.930412', '0.996778', '0.893384', '0.992973', '2.875617', '2.195855', '0.613800', '0.862100', '0.564500', '0.829800', '0:00:46']
['82/150', '0.364423', '0.255188', '0.917868', '0.995550', '0.880960', '0.991442', '2.643403', '2.193038', '0.600200', '0.852000', '0.581800', '0.842600', '0:00:47']
['83/150', '0.291432', '0.196117', '0.937077', '0.997121', '0.902223', '0.993275', '2.360045', '2.011393', '0.618200', '0.871000', '0.602100', '0.858700', '0:00:46']
['84/150', '0.270665', '0.180899', '0.941507', '0.997765', '0.906371', '0.994503', '2.450027', '2.091899', '0.616600', '0.862400', '0.588600', '0.852300', '0:00:46']
['85/150', '0.267201', '0.177922', '0.942071', '0.997262', '0.907921', '0.994563', '2.421706', '2.145637', '0.617700', '0.861800', '0.604900', '0.856800', '0:00:46']
['86/150', '0.269167', '0.177804', '0.942614', '0.997523', '0.909250', '0.994241', '2.899154', '2.200926', '0.607300', '0.857300', '0.566900', '0.833200', '0:00:47']
['87/150', '0.252334', '0.166223', '0.945796', '0.997725', '0.912955', '0.995369', '2.511464', '2.112226', '0.621400', '0.864900', '0.601000', '0.852500', '0:00:47']
['88/150', '0.252890', '0.165102', '0.947125', '0.997986', '0.913257', '0.995409', '3.424275', '2.194584', '0.609300', '0.860500', '0.527300', '0.800000', '0:00:47']
['89/150', '0.246422', '0.162487', '0.947507', '0.997845', '0.914687', '0.995409', '4.189026', '2.161433', '0.612600', '0.866000', '0.469500', '0.759100', '0:00:46']
['90/150', '0.252185', '0.167986', '0.945655', '0.998047', '0.914163', '0.995510', '2.776596', '2.149032', '0.623300', '0.862500', '0.581800', '0.839600', '0:00:46']
['91/150', '0.237214', '0.155164', '0.950608', '0.998188', '0.919459', '0.995631', '3.239621', '2.132477', '0.617400', '0.864900', '0.544000', '0.812800', '0:00:46']
['92/150', '0.215609', '0.139188', '0.954615', '0.998611', '0.924090', '0.996617', '3.042871', '2.181710', '0.619300', '0.858100', '0.552900', '0.819800', '0:00:47']
['93/150', '0.213037', '0.136699', '0.956045', '0.998611', '0.926768', '0.996657', '2.658384', '2.152264', '0.616700', '0.868000', '0.570200', '0.838800', '0:00:47']
['94/150', '0.210080', '0.136460', '0.956588', '0.998671', '0.927030', '0.996557', '2.836868', '2.174086', '0.621300', '0.866800', '0.582800', '0.835800', '0:00:46']
['95/150', '0.197541', '0.125421', '0.959729', '0.998812', '0.932285', '0.997302', '3.066927', '2.231742', '0.613200', '0.860800', '0.556400', '0.826000', '0:00:46']
['96/150', '0.191851', '0.122803', '0.961058', '0.998530', '0.932305', '0.996960', '3.716286', '2.266931', '0.616300', '0.862700', '0.513800', '0.799800', '0:00:46']
['97/150', '0.185480', '0.116619', '0.962971', '0.998832', '0.934359', '0.997382', '3.395159', '2.189682', '0.622900', '0.867100', '0.505400', '0.791000', '0:00:47']
['98/150', '0.181378', '0.115386', '0.963052', '0.998893', '0.935950', '0.997342', '3.998466', '2.269680', '0.619600', '0.862400', '0.470300', '0.763100', '0:00:46']
['99/150', '0.173908', '0.109154', '0.965347', '0.998711', '0.940238', '0.997503', '3.729188', '2.218344', '0.625000', '0.864500', '0.479900', '0.773200', '0:00:46']
['100/150', '0.167734', '0.106080', '0.967602', '0.998993', '0.941688', '0.997523', '3.378553', '2.154657', '0.628900', '0.868000', '0.540900', '0.805900', '0:00:47']
['101/150', '0.163673', '0.104205', '0.966797', '0.998933', '0.942292', '0.997382', '4.822460', '2.230962', '0.625900', '0.868100', '0.414000', '0.711800', '0:00:47']
['102/150', '0.162956', '0.101460', '0.968045', '0.998913', '0.943843', '0.997644', '3.209083', '2.189955', '0.632900', '0.869900', '0.542600', '0.811200', '0:00:47']
['103/150', '0.150990', '0.093532', '0.969978', '0.999315', '0.945957', '0.997845', '3.652274', '2.302894', '0.620700', '0.861200', '0.492100', '0.778100', '0:00:47']
['104/150', '0.159508', '0.100479', '0.968388', '0.999054', '0.944970', '0.997785', '3.100786', '2.192590', '0.623400', '0.867600', '0.551600', '0.820200', '0:00:47']
['105/150', '0.137485', '0.084888', '0.973864', '0.999376', '0.951393', '0.998490', '2.756432', '2.140772', '0.634000', '0.870800', '0.597700', '0.851100', '0:00:47']
['106/150', '0.132681', '0.082788', '0.973985', '0.999295', '0.953085', '0.998510', '3.724755', '2.330222', '0.617700', '0.861300', '0.512200', '0.797400', '0:00:47']
['107/150', '0.140445', '0.085972', '0.973421', '0.999074', '0.950668', '0.998047', '5.720153', '2.163774', '0.633900', '0.871500', '0.425800', '0.715100', '0:00:47']
['108/150', '0.120162', '0.072919', '0.977267', '0.999617', '0.956246', '0.998893', '3.723244', '2.193145', '0.633800', '0.871100', '0.545500', '0.809900', '0:00:47']
['109/150', '0.116300', '0.070882', '0.977247', '0.999678', '0.957514', '0.998731', '2.715777', '2.229123', '0.636000', '0.873300', '0.604300', '0.850200', '0:00:46']
['110/150', '0.111609', '0.068078', '0.978959', '0.999476', '0.958823', '0.998832', '2.492090', '2.228539', '0.627500', '0.873100', '0.609500', '0.862500', '0:00:46']
['111/150', '0.109657', '0.067040', '0.979402', '0.999557', '0.960495', '0.998651', '2.818752', '2.254894', '0.626500', '0.868500', '0.587700', '0.844500', '0:00:47']
['112/150', '0.103103', '0.062335', '0.980791', '0.999517', '0.963011', '0.998268', '2.627807', '2.227628', '0.633100', '0.874400', '0.609000', '0.860100', '0:00:47']
['113/150', '0.099111', '0.059117', '0.981939', '0.999597', '0.964562', '0.998671', '4.639194', '2.236056', '0.629300', '0.871700', '0.458100', '0.745200', '0:00:47']
['114/150', '0.097463', '0.058106', '0.982422', '0.999638', '0.965105', '0.998832', '4.895041', '2.220012', '0.633600', '0.872200', '0.487700', '0.763500', '0:00:46']
['115/150', '0.091355', '0.055396', '0.983771', '0.999557', '0.966998', '0.998611', '3.432395', '2.209418', '0.633000', '0.873700', '0.536800', '0.804700', '0:00:47']
['116/150', '0.089929', '0.052687', '0.984959', '0.999738', '0.967320', '0.999114', '2.694162', '2.250750', '0.633200', '0.875100', '0.614800', '0.859500', '0:00:47']
['117/150', '0.083600', '0.049237', '0.984899', '0.999779', '0.969253', '0.999396', '2.781078', '2.221359', '0.640800', '0.873700', '0.595100', '0.851100', '0:00:46']
['118/150', '0.083096', '0.050454', '0.985261', '0.999597', '0.970139', '0.998832', '2.730006', '2.250149', '0.640400', '0.871500', '0.590200', '0.845000', '0:00:46']
