['38/150', '0.914317', '0.747650', '0.766793', '0.962830', '0.713676', '0.943802', '2.223264', '1.875302', '0.562100', '0.836700', '0.546900', '0.822200', '0:00:47']
['39/150', '0.883495', '0.711565', '0.777686', '0.966314', '0.722898', '0.947487', '2.296497', '2.016477', '0.553900', '0.825200', '0.539700', '0.821000', '0:00:47']
['40/150', '0.883331', '0.705129', '0.779901', '0.966173', '0.727207', '0.948595', '2.116651', '1.815345', '0.570400', '0.840600', '0.554200', '0.829400', '0:00:47']
['41/150', '0.875775', '0.696986', '0.781955', '0.967723', '0.728334', '0.948393', '2.348529', '1.991403', '0.550300', '0.829300', '0.532500', '0.817900', '0:00:47']
['42/150', '0.928188', '0.741708', '0.768625', '0.962568', '0.714421', '0.943138', '2.219478', '1.948309', '0.561700', '0.834500', '0.546700', '0.824300', '0:00:47']
['43/150', '0.851068', '0.672170', '0.789062', '0.969475', '0.734073', '0.950165', '2.614599', '2.240803', '0.510500', '0.799500', '0.505700', '0.799300', '0:00:47']
['44/150', '0.839624', '0.661734', '0.791257', '0.969998', '0.737456', '0.951172', '2.393576', '2.089209', '0.538500', '0.821700', '0.531100', '0.815700', '0:00:47']
['45/150', '0.786097', '0.610807', '0.806238', '0.975495', '0.751309', '0.958803', '2.186504', '1.914580', '0.563200', '0.835600', '0.558400', '0.832200', '0:00:47']
['46/150', '0.894561', '0.702264', '0.780082', '0.967119', '0.725636', '0.949279', '2.568824', '2.211311', '0.534500', '0.805200', '0.512300', '0.798100', '0:00:47']
['47/150', '0.838101', '0.654438', '0.794439', '0.970824', '0.737154', '0.951977', '5.356773', '4.939877', '0.549000', '0.822000', '0.518800', '0.802000', '0:00:47']
['48/150', '0.756817', '0.578899', '0.818037', '0.976442', '0.758900', '0.958723', '2.150455', '1.834026', '0.587000', '0.851400', '0.568600', '0.842000', '0:00:47']
['49/150', '0.737489', '0.560150', '0.822668', '0.977529', '0.763853', '0.961803', '2.425416', '2.158263', '0.553400', '0.828900', '0.537100', '0.820100', '0:00:47']
['50/150', '0.715371', '0.535636', '0.827521', '0.980187', '0.768826', '0.964944', '2.454513', '2.114404', '0.565600', '0.837700', '0.551300', '0.828600', '0:00:47']
['51/150', '0.751127', '0.565803', '0.821561', '0.977388', '0.765685', '0.961964', '2.268283', '1.894869', '0.570700', '0.841000', '0.545400', '0.823000', '0:00:46']
['52/150', '0.786465', '0.597122', '0.813245', '0.976482', '0.754933', '0.958964', '2.385437', '2.061648', '0.554400', '0.822700', '0.543600', '0.819100', '0:00:47']
['53/150', '0.698793', '0.518748', '0.835595', '0.981737', '0.775995', '0.967240', '2.628291', '2.240417', '0.531800', '0.803200', '0.521300', '0.798500', '0:00:47']
['54/150', '0.864452', '0.661234', '0.793935', '0.969535', '0.741161', '0.953709', '2.510032', '2.122652', '0.555900', '0.822900', '0.544700', '0.816500', '0:00:47']
['55/150', '0.715594', '0.534443', '0.832132', '0.980912', '0.772652', '0.963998', '2.279383', '1.859585', '0.580000', '0.849500', '0.544400', '0.824700', '0:00:47']
['56/150', '0.878901', '0.678866', '0.788197', '0.968790', '0.734818', '0.951997', '2.125104', '1.856816', '0.585300', '0.844100', '0.568700', '0.840000', '0:00:47']
['57/150', '0.657023', '0.484574', '0.845864', '0.983006', '0.784009', '0.969012', '2.236589', '1.959816', '0.580300', '0.840300', '0.559600', '0.826500', '0:00:47']
['58/150', '0.609726', '0.438591', '0.859939', '0.986771', '0.798788', '0.973280', '2.325167', '2.015735', '0.569000', '0.839200', '0.547700', '0.828100', '0:00:47']
['59/150', '0.620971', '0.447944', '0.854804', '0.986308', '0.798184', '0.973099', '2.516307', '2.083875', '0.559500', '0.827900', '0.554200', '0.833100', '0:00:47']
['60/150', '0.633364', '0.455325', '0.852771', '0.985986', '0.795989', '0.972314', '2.512879', '2.079032', '0.562700', '0.830200', '0.547100', '0.823500', '0:00:47']
['61/150', '0.586328', '0.416072', '0.867610', '0.988060', '0.808433', '0.976240', '2.446295', '2.075824', '0.574200', '0.836000', '0.551900', '0.827000', '0:00:47']
['62/150', '0.601561', '0.426433', '0.864147', '0.986509', '0.805735', '0.975314', '2.258075', '1.971479', '0.589500', '0.844200', '0.576800', '0.842800', '0:00:46']
['63/150', '0.575963', '0.404076', '0.872725', '0.988543', '0.816527', '0.976442', '2.539205', '2.123650', '0.576600', '0.840100', '0.556700', '0.827200', '0:00:47']
['64/150', '0.555451', '0.388327', '0.875544', '0.989107', '0.820494', '0.977650', '2.465775', '2.111802', '0.572300', '0.838100', '0.550900', '0.827700', '0:00:47']
['65/150', '0.534554', '0.371514', '0.880779', '0.990154', '0.825085', '0.979261', '2.339125', '2.036171', '0.575800', '0.841400', '0.555000', '0.832000', '0:00:47']
['66/150', '0.569877', '0.397834', '0.872584', '0.988221', '0.815077', '0.977388', '2.712822', '2.265887', '0.549800', '0.823200', '0.533700', '0.819300', '0:00:47']
['67/150', '0.586472', '0.413171', '0.868496', '0.987798', '0.812782', '0.976260', '2.592003', '2.235252', '0.576000', '0.834000', '0.555900', '0.822500', '0:00:47']
['68/150', '0.529744', '0.365470', '0.884222', '0.989711', '0.826776', '0.980892', '3.334893', '2.787175', '0.542000', '0.808000', '0.542400', '0.816300', '0:00:47']
['69/150', '0.572263', '0.400990', '0.871416', '0.988120', '0.815178', '0.976321', '2.604073', '2.163647', '0.572400', '0.834800', '0.544800', '0.818700', '0:00:47']
['70/150', '0.468900', '0.314466', '0.897733', '0.992852', '0.843086', '0.983308', '2.496554', '2.084569', '0.593200', '0.846700', '0.569000', '0.834400', '0:00:46']
['71/150', '0.503628', '0.344568', '0.888974', '0.991382', '0.837589', '0.981093', '2.686589', '2.249985', '0.572400', '0.831600', '0.547200', '0.825400', '0:00:47']
['72/150', '0.463115', '0.308814', '0.901317', '0.992872', '0.846569', '0.983650', '2.463904', '2.129894', '0.594300', '0.848000', '0.569800', '0.836800', '0:00:47']
['73/150', '0.486203', '0.325550', '0.894592', '0.991563', '0.843045', '0.982663', '2.654341', '2.237828', '0.588400', '0.843200', '0.560300', '0.836100', '0:00:46']
['74/150', '0.554930', '0.387351', '0.877597', '0.987576', '0.823756', '0.977932', '2.796908', '2.295056', '0.570500', '0.834300', '0.518500', '0.793300', '0:00:46']
['75/150', '0.453186', '0.306471', '0.902162', '0.992469', '0.851200', '0.984939', '2.480942', '2.126803', '0.593900', '0.845800', '0.561200', '0.823200', '0:00:47']
['76/150', '0.463377', '0.308699', '0.901357', '0.992832', '0.846871', '0.985180', '2.605359', '2.128803', '0.585000', '0.842100', '0.550000', '0.820700', '0:00:47']
['77/150', '0.447031', '0.296346', '0.903592', '0.993335', '0.853334', '0.984858', '2.546815', '2.173235', '0.588600', '0.837900', '0.560300', '0.826500', '0:00:47']
['78/150', '0.472075', '0.317922', '0.897854', '0.992228', '0.848482', '0.984415', '2.541670', '2.114713', '0.586900', '0.843300', '0.553800', '0.826500', '0:00:47']
['79/150', '0.397100', '0.256803', '0.918069', '0.994322', '0.867369', '0.987879', '2.520946', '2.114048', '0.593500', '0.848100', '0.572900', '0.837700', '0:00:47']
['80/150', '0.385081', '0.241936', '0.923164', '0.994865', '0.872624', '0.988221', '3.168240', '2.140352', '0.595800', '0.847600', '0.514200', '0.796800', '0:00:47']
['81/150', '0.417395', '0.270332', '0.913317', '0.994100', '0.862436', '0.986348', '3.321580', '2.237214', '0.579700', '0.839700', '0.461200', '0.756700', '0:00:47']
['82/150', '0.403077', '0.258060', '0.917848', '0.995067', '0.867268', '0.988563', '2.879375', '2.161673', '0.592700', '0.846500', '0.540700', '0.816800', '0:00:47']
['83/150', '0.353318', '0.218997', '0.930392', '0.995751', '0.884826', '0.990738', '3.020491', '2.322256', '0.599200', '0.850400', '0.541500', '0.818200', '0:00:47']
['84/150', '0.363367', '0.225595', '0.929144', '0.995852', '0.881463', '0.990979', '2.953984', '2.256217', '0.591200', '0.846300', '0.531100', '0.813600', '0:00:47']
['85/150', '0.354469', '0.219100', '0.930755', '0.996174', '0.883255', '0.991100', '2.964462', '2.442649', '0.595000', '0.852100', '0.557400', '0.828400', '0:00:47']
['86/150', '0.330144', '0.201080', '0.936312', '0.996738', '0.890867', '0.992006', '4.055742', '3.301021', '0.584900', '0.839100', '0.534500', '0.805100', '0:00:47']
['87/150', '0.332265', '0.205490', '0.934379', '0.997100', '0.890202', '0.991966', '3.505872', '2.733198', '0.590500', '0.844800', '0.512300', '0.803300', '0:00:47']
['88/150', '0.307861', '0.183027', '0.942735', '0.997221', '0.898538', '0.993194', '3.959387', '2.374414', '0.598500', '0.846300', '0.441100', '0.747800', '0:00:47']
