['1/150', '3.988461', '3.849778', '0.124577', '0.339542', '0.095180', '0.290915', '3.538608', '3.414537', '0.178400', '0.445200', '0.135900', '0.389300', '0:00:48']
['2/150', '3.265330', '3.152810', '0.229039', '0.521062', '0.192051', '0.473442', '3.266456', '3.099376', '0.236900', '0.521800', '0.193300', '0.458500', '0:00:48']
['3/150', '2.927360', '2.811845', '0.294620', '0.611006', '0.258678', '0.568480', '2.917723', '2.765584', '0.304500', '0.629800', '0.268500', '0.582400', '0:00:48']
['4/150', '2.978696', '2.842447', '0.300620', '0.620228', '0.270095', '0.582112', '2.709931', '2.587101', '0.338400', '0.656600', '0.296100', '0.615600', '0:00:48']
['5/150', '2.623691', '2.516621', '0.349992', '0.673546', '0.321078', '0.643464', '2.618335', '2.513947', '0.354100', '0.663900', '0.334500', '0.647300', '0:00:49']
['6/150', '2.406944', '2.310622', '0.385430', '0.716153', '0.361751', '0.691064', '2.757021', '2.636573', '0.336100', '0.647300', '0.312300', '0.624600', '0:00:49']
['7/150', '2.315905', '2.214974', '0.408706', '0.735100', '0.387403', '0.713052', '2.579396', '2.417046', '0.384300', '0.696900', '0.372900', '0.689700', '0:00:48']
['8/150', '2.251528', '2.148143', '0.422942', '0.749617', '0.402082', '0.728536', '2.608118', '2.420149', '0.380700', '0.688700', '0.356100', '0.672800', '0:00:49']
['9/150', '2.133830', '2.036191', '0.447547', '0.770639', '0.429627', '0.751530', '2.526328', '2.331423', '0.414300', '0.729600', '0.398900', '0.718200', '0:00:48']
['10/150', '2.057806', '1.958502', '0.467622', '0.783525', '0.446400', '0.766612', '2.515948', '2.334504', '0.402500', '0.723100', '0.382000', '0.706200', '0:00:48']
['11/150', '1.985876', '1.884491', '0.480147', '0.798224', '0.458864', '0.780223', '2.655742', '2.462401', '0.387800', '0.694400', '0.362400', '0.659200', '0:00:48']
['12/150', '1.894778', '1.798231', '0.500987', '0.813990', '0.483247', '0.798889', '2.320557', '2.163205', '0.435100', '0.752200', '0.421100', '0.749800', '0:00:47']
['13/150', '1.840420', '1.741954', '0.516350', '0.822326', '0.493839', '0.805735', '2.497244', '2.310635', '0.417800', '0.723800', '0.378900', '0.687300', '0:00:48']
['14/150', '1.775113', '1.678664', '0.527827', '0.835696', '0.507309', '0.819789', '2.451005', '2.213559', '0.444300', '0.743000', '0.391300', '0.689400', '0:00:48']
