['1/150', '3.956463', '3.827639', '0.123933', '0.340991', '0.095059', '0.286566', '3.556733', '3.440455', '0.173800', '0.441500', '0.124700', '0.353100', '0:00:47']
['2/150', '3.260298', '3.157302', '0.226120', '0.518122', '0.190299', '0.470381', '3.187346', '3.056068', '0.243300', '0.542900', '0.206600', '0.491700', '0:00:46']
['3/150', '2.969317', '2.855503', '0.286807', '0.601925', '0.254228', '0.564131', '3.686020', '3.523500', '0.251800', '0.530800', '0.227300', '0.523500', '0:00:47']
['4/150', '2.798907', '2.691710', '0.318218', '0.640122', '0.287069', '0.608831', '2.818769', '2.675979', '0.321600', '0.635900', '0.296800', '0.613500', '0:00:47']
['5/150', '2.558748', '2.466588', '0.359214', '0.687842', '0.333521', '0.659613', '2.670404', '2.562667', '0.347200', '0.662100', '0.323400', '0.641100', '0:00:47']
['6/150', '2.542829', '2.436051', '0.364127', '0.694467', '0.342985', '0.669660', '2.690014', '2.553303', '0.346700', '0.668600', '0.330700', '0.652200', '0:00:47']
['7/150', '2.293520', '2.212343', '0.411022', '0.735201', '0.388511', '0.714763', '2.510525', '2.389186', '0.383500', '0.697700', '0.374900', '0.689500', '0:00:47']
['8/150', '2.190074', '2.101119', '0.431177', '0.757410', '0.408968', '0.736348', '2.477792', '2.352085', '0.396200', '0.721700', '0.385400', '0.707500', '0:00:47']
['9/150', '2.109275', '2.018461', '0.455642', '0.773297', '0.434117', '0.754027', '2.480923', '2.323613', '0.404300', '0.710200', '0.399100', '0.703900', '0:00:48']
['10/150', '2.025049', '1.932036', '0.470039', '0.788861', '0.451212', '0.772793', '2.546697', '2.385628', '0.393100', '0.716000', '0.380800', '0.699000', '0:00:47']
['11/150', '1.962494', '1.866650', '0.485281', '0.802634', '0.466293', '0.785740', '2.317745', '2.175138', '0.431600', '0.741400', '0.416700', '0.727700', '0:00:47']
['12/150', '1.897927', '1.798242', '0.500664', '0.813950', '0.478858', '0.799090', '2.502623', '2.309039', '0.409500', '0.718700', '0.392900', '0.704200', '0:00:47']
['13/150', '1.828506', '1.728443', '0.514659', '0.825286', '0.495570', '0.809460', '2.573398', '2.399466', '0.415100', '0.719100', '0.410200', '0.720500', '0:00:47']
