['1/150', '3.661678', '3.661678', '0.151589', '0.379281', '0.011024', '0.049576', '3.255819', '3.255819', '0.217800', '0.490400', '0.014400', '0.053900', '0:01:35']
['2/150', '3.100851', '3.100851', '0.242858', '0.526368', '0.011964', '0.053557', '2.928596', '2.928596', '0.280200', '0.571500', '0.011400', '0.055400', '0:01:38']
['3/150', '2.806424', '2.806104', '0.295294', '0.596851', '0.013244', '0.058819', '2.777515', '2.777152', '0.306700', '0.613500', '0.012300', '0.063000', '0:01:38']
['4/150', '2.603010', '2.601585', '0.335988', '0.648628', '0.021747', '0.090009', '2.610428', '2.608844', '0.336700', '0.654300', '0.030800', '0.116900', '0:01:39']
['5/150', '2.445355', '2.442022', '0.368458', '0.685399', '0.044454', '0.162792', '2.409337', '2.405829', '0.380500', '0.693200', '0.063300', '0.213100', '0:01:37']
['6/150', '2.336667', '2.331122', '0.390945', '0.708767', '0.079245', '0.261984', '2.316898', '2.311616', '0.400700', '0.716000', '0.106300', '0.318900', '0:01:38']
['7/150', '2.226193', '2.218943', '0.414133', '0.732134', '0.135203', '0.378381', '2.238849', '2.231921', '0.417500', '0.730600', '0.168100', '0.437300', '0:01:40']
['8/150', '2.105906', '2.097479', '0.440241', '0.758363', '0.197423', '0.481934', '2.190222', '2.182538', '0.428100', '0.738800', '0.220500', '0.515400', '0:01:37']
['9/150', '1.989758', '1.980117', '0.465709', '0.778529', '0.244158', '0.552437', '2.198757', '2.189126', '0.436400', '0.740600', '0.268200', '0.573000', '0:01:40']
['10/150', '1.882376', '1.871106', '0.488416', '0.799516', '0.282811', '0.601472', '1.968153', '1.957185', '0.481100', '0.779800', '0.312500', '0.628000', '0:01:37']
['11/150', '1.766717', '1.753388', '0.514365', '0.822223', '0.314541', '0.640825', '1.969571', '1.955913', '0.481900', '0.781100', '0.349900', '0.659400', '0:01:38']
['12/150', '1.661421', '1.645461', '0.540513', '0.839169', '0.341769', '0.666233', '1.890287', '1.874010', '0.508100', '0.794800', '0.370800', '0.683200', '0:01:40']
['13/150', '1.562114', '1.542984', '0.564281', '0.857114', '0.362736', '0.688820', '1.881575', '1.861534', '0.510800', '0.799200', '0.366200', '0.684600', '0:01:37']
['14/150', '1.450642', '1.427924', '0.590649', '0.874880', '0.380802', '0.709987', '1.792477', '1.768131', '0.536600', '0.815900', '0.384700', '0.705600', '0:01:38']
['15/150', '1.349677', '1.322610', '0.618278', '0.890305', '0.400648', '0.722431', '1.820082', '1.793724', '0.528800', '0.820400', '0.392300', '0.715700', '0:01:40']
['16/150', '1.240613', '1.208413', '0.648067', '0.907230', '0.418234', '0.738296', '1.737213', '1.705175', '0.554500', '0.831500', '0.413300', '0.723500', '0:01:38']
['17/150', '1.149988', '1.112037', '0.671135', '0.920335', '0.428917', '0.753021', '1.768233', '1.729902', '0.552800', '0.831100', '0.426900', '0.736400', '0:01:38']
['18/150', '1.064990', '1.020508', '0.693942', '0.932518', '0.444242', '0.761764', '1.706697', '1.664360', '0.569600', '0.842000', '0.452500', '0.759500', '0:01:40']
['19/150', '0.988007', '0.936721', '0.716629', '0.943202', '0.454245', '0.771607', '1.768569', '1.721945', '0.564600', '0.837800', '0.461900', '0.776400', '0:01:38']
['20/150', '0.912209', '0.852828', '0.741677', '0.951304', '0.462028', '0.779189', '1.791970', '1.738396', '0.563200', '0.837900', '0.473000', '0.784200', '0:01:39']
['21/150', '0.859966', '0.791865', '0.757662', '0.959107', '0.472851', '0.784131', '1.828130', '1.764813', '0.563600', '0.838100', '0.481800', '0.782400', '0:01:40']
['22/150', '0.808522', '0.731889', '0.773508', '0.964249', '0.479393', '0.792634', '1.821602', '1.751969', '0.574500', '0.840800', '0.474700', '0.773400', '0:01:37']
['23/150', '0.762564', '0.676655', '0.791873', '0.969870', '0.487156', '0.799636', '1.806555', '1.730707', '0.586500', '0.846000', '0.489500', '0.789300', '0:01:39']
['24/150', '0.726447', '0.630222', '0.801837', '0.974912', '0.495739', '0.803437', '1.773081', '1.688218', '0.595200', '0.854400', '0.500600', '0.801700', '0:01:40']
['25/150', '0.683951', '0.577297', '0.819322', '0.978853', '0.504581', '0.808999', '1.890948', '1.787583', '0.587000', '0.846500', '0.480400', '0.778700', '0:01:36']
['26/150', '0.666291', '0.549577', '0.827005', '0.979674', '0.508583', '0.813560', '1.899762', '1.799558', '0.593200', '0.846700', '0.511600', '0.800100', '0:01:40']
['27/150', '0.640274', '0.513370', '0.837968', '0.982895', '0.515325', '0.821063', '1.849596', '1.740332', '0.599800', '0.854000', '0.515000', '0.812000', '0:01:38']
