['38/150', '0.827556', '0.541783', '0.830541', '0.981838', '0.508839', '0.819547', '2.535848', '2.211544', '0.550400', '0.827000', '0.483100', '0.789500', '0:00:37']
['39/150', '0.878855', '0.578887', '0.820051', '0.980549', '0.508598', '0.819870', '2.703861', '2.335553', '0.539500', '0.812900', '0.450900', '0.759400', '0:00:37']
['40/150', '0.821704', '0.506151', '0.838132', '0.984496', '0.517336', '0.821843', '2.622333', '2.281898', '0.549500', '0.814600', '0.463700', '0.785100', '0:00:37']
['41/150', '0.829949', '0.499822', '0.841595', '0.984013', '0.516531', '0.824843', '2.801216', '2.406610', '0.536400', '0.802200', '0.454600', '0.766800', '0:00:37']
['42/150', '0.826214', '0.481962', '0.845925', '0.985382', '0.525391', '0.830300', '2.669325', '2.299912', '0.555600', '0.823200', '0.492900', '0.797600', '0:00:37']
['43/150', '0.834734', '0.475240', '0.848844', '0.986288', '0.528874', '0.830360', '2.579860', '2.173595', '0.567500', '0.830700', '0.479000', '0.791100', '0:00:37']
['44/150', '0.876351', '0.508480', '0.841636', '0.983650', '0.527867', '0.833038', '2.899239', '2.410504', '0.543800', '0.822400', '0.439000', '0.753100', '0:00:37']
['45/150', '0.850552', '0.465526', '0.852851', '0.987415', '0.534552', '0.834890', '2.697249', '2.285082', '0.565000', '0.835600', '0.491200', '0.802400', '0:00:37']
['46/150', '0.846919', '0.450706', '0.855287', '0.987536', '0.536626', '0.839058', '3.191274', '2.627682', '0.525300', '0.798600', '0.428500', '0.730400', '0:00:37']
['47/150', '0.872051', '0.463353', '0.854905', '0.986952', '0.540613', '0.842018', '3.723413', '3.062481', '0.488400', '0.767900', '0.476100', '0.789500', '0:00:38']
['48/150', '0.898827', '0.477910', '0.850334', '0.985925', '0.538881', '0.838676', '2.620105', '2.159129', '0.564900', '0.825000', '0.503300', '0.809600', '0:00:37']
['49/150', '0.861636', '0.421673', '0.867530', '0.989026', '0.546513', '0.844475', '2.522959', '2.067531', '0.568900', '0.833100', '0.497300', '0.799700', '0:00:37']
['50/150', '0.955382', '0.505709', '0.844636', '0.984979', '0.542405', '0.841495', '2.932834', '2.327198', '0.521200', '0.795800', '0.476500', '0.779500', '0:00:37']
['51/150', '0.901122', '0.445557', '0.862013', '0.988281', '0.553177', '0.846529', '2.631870', '2.108782', '0.565500', '0.822400', '0.486900', '0.800400', '0:00:37']
['52/150', '0.871329', '0.403535', '0.874517', '0.990275', '0.562097', '0.852126', '2.871043', '2.272651', '0.548200', '0.816500', '0.463400', '0.778900', '0:00:37']
['53/150', '0.901336', '0.418257', '0.869443', '0.989127', '0.557708', '0.853012', '2.878413', '2.268992', '0.554700', '0.824500', '0.498900', '0.807800', '0:00:37']
['54/150', '0.894963', '0.408109', '0.872543', '0.989872', '0.562097', '0.857402', '2.493456', '1.953453', '0.586900', '0.840800', '0.495100', '0.791300', '0:00:37']
['55/150', '0.894688', '0.399018', '0.875705', '0.991040', '0.568863', '0.857885', '2.416354', '1.890040', '0.585500', '0.843500', '0.512000', '0.816400', '0:00:37']
['56/150', '0.942126', '0.442139', '0.863100', '0.987738', '0.564574', '0.855106', '3.272223', '2.476623', '0.518400', '0.796900', '0.523900', '0.817100', '0:00:38']
['57/150', '0.916571', '0.413450', '0.872161', '0.990899', '0.573917', '0.861570', '2.619219', '1.967798', '0.568400', '0.827200', '0.502200', '0.805400', '0:00:37']
['58/150', '0.925141', '0.412736', '0.871698', '0.990496', '0.576897', '0.863885', '3.173400', '2.413477', '0.523300', '0.793500', '0.511400', '0.814800', '0:00:37']
['59/150', '0.912990', '0.400812', '0.876530', '0.990154', '0.583562', '0.866583', '2.152802', '1.675685', '0.605900', '0.856500', '0.546100', '0.837200', '0:00:37']
['60/150', '0.921200', '0.407585', '0.876550', '0.990557', '0.585676', '0.869241', '2.611267', '1.928042', '0.577200', '0.843700', '0.490200', '0.796800', '0:00:38']
['61/150', '0.933778', '0.420063', '0.873570', '0.989852', '0.587427', '0.869100', '2.317557', '1.750656', '0.593100', '0.842400', '0.514100', '0.810300', '0:00:37']
['62/150', '0.945044', '0.426099', '0.872564', '0.989771', '0.589985', '0.869060', '2.514577', '1.933055', '0.574200', '0.833300', '0.504400', '0.803800', '0:00:37']
['63/150', '0.940986', '0.423767', '0.874235', '0.989973', '0.591072', '0.872020', '2.509493', '1.925322', '0.557300', '0.830300', '0.521300', '0.822700', '0:00:37']
['64/150', '1.001834', '0.480550', '0.862879', '0.987657', '0.587669', '0.868980', '2.792961', '2.063672', '0.564700', '0.827900', '0.493400', '0.792200', '0:00:37']
['65/150', '0.954457', '0.438684', '0.871718', '0.989127', '0.596770', '0.874919', '2.390048', '1.716379', '0.586500', '0.845200', '0.506000', '0.803700', '0:00:37']
['66/150', '0.921752', '0.417886', '0.878101', '0.990959', '0.606838', '0.879853', '2.136116', '1.585795', '0.609800', '0.865600', '0.526100', '0.824100', '0:00:37']
['67/150', '0.952261', '0.439453', '0.871557', '0.990073', '0.607382', '0.878584', '2.135847', '1.558447', '0.615300', '0.869000', '0.548400', '0.835000', '0:00:38']
['68/150', '0.931243', '0.426915', '0.877316', '0.990436', '0.614409', '0.883195', '2.142995', '1.536654', '0.608500', '0.860700', '0.516500', '0.809900', '0:00:38']
['69/150', '0.935764', '0.434135', '0.875705', '0.990013', '0.614006', '0.883638', '2.068151', '1.539010', '0.613500', '0.866300', '0.547200', '0.831900', '0:00:37']
['70/150', '0.945417', '0.444922', '0.870631', '0.989570', '0.616583', '0.884041', '2.451969', '1.725787', '0.570300', '0.835700', '0.550000', '0.833300', '0:00:37']
['71/150', '0.942614', '0.444806', '0.873208', '0.990154', '0.618919', '0.886276', '2.736408', '1.824266', '0.542800', '0.812800', '0.542700', '0.839100', '0:00:37']
['72/150', '0.940982', '0.449511', '0.870711', '0.990254', '0.623570', '0.887544', '2.934945', '1.975603', '0.538000', '0.813200', '0.546700', '0.829000', '0:00:37']
